Epoch: 1/30 | Batch: 169/439 | Loss: 20128.261745689655 | Elapsed Time:    00:01:05
Epoch: 1/30 | Batch: 179/439 | Loss: 15649.690648320895 | Elapsed Time:    00:01:07
Epoch: 1/30 | Batch: 189/439 | Loss: 19473.963125 | Elapsed Time:    00:01:09
Epoch: 1/30 | Batch: 199/439 | Loss: 19127.782201086957 | Elapsed Time:    00:01:11
Epoch: 1/30 | Batch: 209/439 | Loss: 11408.028464988425 | Elapsed Time:    00:01:13
Epoch: 1/30 | Batch: 219/439 | Loss: 13271.3023046875 | Elapsed Time:    00:01:15
Epoch: 1/30 | Batch: 229/439 | Loss: 11427.71916555851 | Elapsed Time:    00:01:16
Epoch: 1/30 | Batch: 239/439 | Loss: 13667.7208984375 | Elapsed Time:    00:01:18
Epoch: 1/30 | Batch: 249/439 | Loss: 10828.290842013888 | Elapsed Time:    00:01:19
Epoch: 1/30 | Batch: 259/439 | Loss: 11314.07138433689 | Elapsed Time:    00:01:21
Epoch: 1/30 | Batch: 269/439 | Loss: 8921.260498046875 | Elapsed Time:    00:01:22
Epoch: 1/30 | Batch: 279/439 | Loss: 10338.17373046875 | Elapsed Time:    00:01:24
Epoch: 1/30 | Batch: 289/439 | Loss: 11500.1378125 | Elapsed Time:    00:01:25
Epoch: 1/30 | Batch: 299/439 | Loss: 18310.157366071428 | Elapsed Time:    00:01:26
Epoch: 1/30 | Batch: 309/439 | Loss: 12089.579715401786 | Elapsed Time:    00:01:28
Epoch: 1/30 | Batch: 319/439 | Loss: 10886.99677579365 | Elapsed Time:    00:01:29
Epoch: 1/30 | Batch: 329/439 | Loss: 11533.061279296875 | Elapsed Time:    00:01:30
Epoch: 1/30 | Batch: 339/439 | Loss: 8707.695413841391 | Elapsed Time:    00:01:31
Epoch: 1/30 | Batch: 349/439 | Loss: 9849.658125 | Elapsed Time:    00:01:33
Epoch: 1/30 | Batch: 359/439 | Loss: 8716.627452021059 | Elapsed Time:    00:01:33
Epoch: 1/30 | Batch: 369/439 | Loss: 9343.073706054687 | Elapsed Time:    00:01:34
Epoch: 1/30 | Batch: 379/439 | Loss: 8421.291162109375 | Elapsed Time:    00:01:35
Epoch: 1/30 | Batch: 389/439 | Loss: 5777.853841145833 | Elapsed Time:    00:01:36
Epoch: 1/30 | Batch: 399/439 | Loss: 5012.08478655134 | Elapsed Time:    00:01:36
Epoch: 1/30 | Batch: 409/439 | Loss: 4574.764392089844 | Elapsed Time:    00:01:37
Epoch: 1/30 | Batch: 419/439 | Loss: 4524.261090087891 | Elapsed Time:    00:01:37
Epoch: 1/30 | Batch: 429/439 | Loss: 6711.169506835938 | Elapsed Time:    00:01:38
Epoch: 2/30 | Batch: 9/439 | Loss: 28069.084270833333 | Elapsed Time:    00:01:44
Epoch: 2/30 | Batch: 19/439 | Loss: 28968.740914786966 | Elapsed Time:    00:01:50
Epoch: 2/30 | Batch: 29/439 | Loss: 29611.75698228883 | Elapsed Time:    00:01:54
Epoch: 2/30 | Batch: 39/439 | Loss: 22817.310951166182 | Elapsed Time:    00:01:58
Epoch: 2/30 | Batch: 49/439 | Loss: 24227.36930941358 | Elapsed Time:    00:02:03
Epoch: 2/30 | Batch: 59/439 | Loss: 20521.678206699347 | Elapsed Time:    00:02:07
Epoch: 1/30 | Batch: 9/32 | Loss: 2300558.7682001605 | Elapsed Time:    00:00:05
Epoch: 1/30 | Batch: 19/32 | Loss: 2605637.834586466 | Elapsed Time:    00:00:11
Epoch: 1/30 | Batch: 29/32 | Loss: 2997241.613079019 | Elapsed Time:    00:00:16
Epoch: 2/30 | Batch: 9/32 | Loss: 3520932.380952381 | Elapsed Time:    00:00:22
Epoch: 2/30 | Batch: 19/32 | Loss: 2798166.5363408523 | Elapsed Time:    00:00:28
Epoch: 2/30 | Batch: 29/32 | Loss: 2732987.6076294277 | Elapsed Time:    00:00:33
Epoch: 3/30 | Batch: 9/32 | Loss: 3304551.481904762 | Elapsed Time:    00:00:40
Epoch: 3/30 | Batch: 19/32 | Loss: 2611439.0877192984 | Elapsed Time:    00:00:45
Epoch: 3/30 | Batch: 29/32 | Loss: 2887976.4904632154 | Elapsed Time:    00:00:51
Epoch: 4/30 | Batch: 9/32 | Loss: 2747037.318095238 | Elapsed Time:    00:00:58
Epoch: 4/30 | Batch: 19/32 | Loss: 2721101.543859649 | Elapsed Time:    00:01:04
Epoch: 4/30 | Batch: 29/32 | Loss: 2882887.6185286106 | Elapsed Time:    00:01:09
Epoch: 5/30 | Batch: 9/32 | Loss: 3693662.019047619 | Elapsed Time:    00:01:16
Epoch: 5/30 | Batch: 19/32 | Loss: 2642879.8195488723 | Elapsed Time:    00:01:21
Epoch: 5/30 | Batch: 29/32 | Loss: 2770598.4414168936 | Elapsed Time:    00:01:26
Epoch: 6/30 | Batch: 9/32 | Loss: 2596732.8304761904 | Elapsed Time:    00:01:33
Epoch: 6/30 | Batch: 19/32 | Loss: 3034073.403508772 | Elapsed Time:    00:01:38
Epoch: 6/30 | Batch: 29/32 | Loss: 2740595.7602179837 | Elapsed Time:    00:01:43
Epoch: 7/30 | Batch: 9/32 | Loss: 2829382.019047619 | Elapsed Time:    00:01:50
Epoch: 7/30 | Batch: 19/32 | Loss: 2838830.686716792 | Elapsed Time:    00:01:55
Epoch: 1/30 | Batch: 9/32 | Loss: 4.610101870582217 | Elapsed Time:    00:00:06
Epoch: 1/30 | Batch: 19/32 | Loss: 3.273347744666843 | Elapsed Time:    00:00:12
Epoch: 1/30 | Batch: 29/32 | Loss: 3.3464654615854372 | Elapsed Time:    00:00:17
Epoch: 2/30 | Batch: 9/32 | Loss: 2.817300996326265 | Elapsed Time:    00:00:24
Epoch: 2/30 | Batch: 19/32 | Loss: 2.971383001571311 | Elapsed Time:    00:00:30
Epoch: 2/30 | Batch: 29/32 | Loss: 2.8173118819982546 | Elapsed Time:    00:00:36
Epoch: 3/30 | Batch: 9/32 | Loss: 2.157444574265253 | Elapsed Time:    00:00:44
Epoch: 3/30 | Batch: 19/32 | Loss: 2.222428496320146 | Elapsed Time:    00:00:49
Epoch: 3/30 | Batch: 29/32 | Loss: 2.086296372582542 | Elapsed Time:    00:00:55
Epoch: 4/30 | Batch: 9/32 | Loss: 1.5801831490652902 | Elapsed Time:    00:01:02
Epoch: 4/30 | Batch: 19/32 | Loss: 1.6357253034013255 | Elapsed Time:    00:01:08
Epoch: 4/30 | Batch: 29/32 | Loss: 1.3915329395263007 | Elapsed Time:    00:01:13
Epoch: 5/30 | Batch: 9/32 | Loss: 1.0260189020066035 | Elapsed Time:    00:01:21
Epoch: 5/30 | Batch: 19/32 | Loss: 0.944060280209496 | Elapsed Time:    00:01:26
Epoch: 5/30 | Batch: 29/32 | Loss: 0.7601776746703104 | Elapsed Time:    00:01:32
Epoch: 6/30 | Batch: 9/32 | Loss: 0.5856531815301804 | Elapsed Time:    00:01:39
Epoch: 1/30 | Batch: 9/439 | Loss: 4.724677443731399 | Elapsed Time:    00:00:06
Epoch: 1/30 | Batch: 19/439 | Loss: 3.274284649612312 | Elapsed Time:    00:00:12
Epoch: 1/30 | Batch: 29/439 | Loss: 3.3745965152085637 | Elapsed Time:    00:00:18
Epoch: 1/30 | Batch: 39/439 | Loss: 3.1394730948845777 | Elapsed Time:    00:00:23
Epoch: 1/30 | Batch: 49/439 | Loss: 3.242377292962722 | Elapsed Time:    00:00:28
Epoch: 1/30 | Batch: 59/439 | Loss: 3.0330691368751275 | Elapsed Time:    00:00:33
Epoch: 1/30 | Batch: 69/439 | Loss: 2.8315584372818674 | Elapsed Time:    00:00:37
Epoch: 1/30 | Batch: 79/439 | Loss: 2.6800541808639746 | Elapsed Time:    00:00:42
Epoch: 1/30 | Batch: 89/439 | Loss: 2.2321852468439447 | Elapsed Time:    00:00:46
Epoch: 1/30 | Batch: 99/439 | Loss: 2.1516065985206665 | Elapsed Time:    00:00:49
Epoch: 1/30 | Batch: 109/439 | Loss: 2.144358963801943 | Elapsed Time:    00:00:53
Epoch: 1/30 | Batch: 119/439 | Loss: 1.8613082744457103 | Elapsed Time:    00:00:57
Epoch: 1/30 | Batch: 129/439 | Loss: 1.7747687821341034 | Elapsed Time:    00:01:00
Epoch: 1/30 | Batch: 139/439 | Loss: 1.6572159741375898 | Elapsed Time:    00:01:04
Epoch: 1/30 | Batch: 149/439 | Loss: 1.7695178762513992 | Elapsed Time:    00:01:07
Epoch: 1/30 | Batch: 159/439 | Loss: 1.6629263926775029 | Elapsed Time:    00:01:10
Epoch: 1/30 | Batch: 169/439 | Loss: 1.716919866101495 | Elapsed Time:    00:01:12
Epoch: 1/30 | Batch: 179/439 | Loss: 1.7004620210448307 | Elapsed Time:    00:01:15
Epoch: 1/30 | Batch: 189/439 | Loss: 1.8495594406127929 | Elapsed Time:    00:01:18
Epoch: 1/30 | Batch: 199/439 | Loss: 2.4340340821639352 | Elapsed Time:    00:01:20
Epoch: 1/30 | Batch: 209/439 | Loss: 2.522883662471065 | Elapsed Time:    00:01:22
Epoch: 1/30 | Batch: 219/439 | Loss: 2.8138687324523928 | Elapsed Time:    00:01:25
Epoch: 1/30 | Batch: 229/439 | Loss: 2.277021276189926 | Elapsed Time:    00:01:27
Epoch: 1/30 | Batch: 239/439 | Loss: 1.8233230590820313 | Elapsed Time:    00:01:29
Epoch: 1/30 | Batch: 249/439 | Loss: 2.198676437801785 | Elapsed Time:    00:01:31
Epoch: 1/30 | Batch: 259/439 | Loss: 1.72596747700761 | Elapsed Time:    00:01:33
Epoch: 1/30 | Batch: 269/439 | Loss: 0.9491501301527023 | Elapsed Time:    00:01:35
Epoch: 1/30 | Batch: 279/439 | Loss: 1.5954972222447394 | Elapsed Time:    00:01:37
Epoch: 1/30 | Batch: 289/439 | Loss: 1.6552902539571126 | Elapsed Time:    00:01:39
Epoch: 1/30 | Batch: 299/439 | Loss: 1.337450066634587 | Elapsed Time:    00:01:40
Epoch: 1/30 | Batch: 309/439 | Loss: 1.4772579874311174 | Elapsed Time:    00:01:42
Epoch: 1/30 | Batch: 319/439 | Loss: 1.5731526707846022 | Elapsed Time:    00:01:44
Epoch: 1/30 | Batch: 329/439 | Loss: 1.8979978879292807 | Elapsed Time:    00:01:46
Epoch: 1/30 | Batch: 339/439 | Loss: 1.5453002677773529 | Elapsed Time:    00:01:47
Epoch: 1/30 | Batch: 349/439 | Loss: 1.7278886604309083 | Elapsed Time:    00:01:49
Epoch: 1/30 | Batch: 359/439 | Loss: 1.467724445073501 | Elapsed Time:    00:01:50
Epoch: 1/30 | Batch: 369/439 | Loss: 1.308266043663025 | Elapsed Time:    00:01:52
Epoch: 1/30 | Batch: 379/439 | Loss: 1.2535221338272096 | Elapsed Time:    00:01:53
Epoch: 1/30 | Batch: 389/439 | Loss: 1.8632086674372355 | Elapsed Time:    00:01:54
Epoch: 1/30 | Batch: 399/439 | Loss: 1.864251502922603 | Elapsed Time:    00:01:55
Epoch: 1/30 | Batch: 409/439 | Loss: 2.9197440803050996 | Elapsed Time:    00:01:56
Epoch: 1/30 | Batch: 419/439 | Loss: 2.292717432975769 | Elapsed Time:    00:01:57
Epoch: 1/30 | Batch: 429/439 | Loss: 1.88308624625206 | Elapsed Time:    00:01:58
